site_reference,hectares,bsi,ndvi,passes_bsi,passes_ndvi,passes_gate
44864,1.74,0.0253,0.17663,False,True,False
48119,1.51,0.00557,0.18855,False,True,False
51283,0.47,-0.02048,0.36641,False,False,False
51841,2.36,0.01047,0.26792,False,False,False
52839,8.75,-0.04478,0.37247,False,False,False
53087,0.07,-0.00378,0.21893,False,False,False
53237,3.9,0.02089,0.18985,False,True,False
53413,13.5,-0.03427,0.28294,False,False,False
53931,1.86,-0.01523,0.25097,False,False,False
54289,0.72,0.02233,0.17937,False,True,False
55181,0.13,0.03458,0.16291,False,True,False
55286,11.77,-0.07195,0.34602,False,False,False
55314,1.28,-0.00866,0.26328,False,False,False
55621,0.06,0.04306,0.12235,False,True,False
55692,0.33,0.02297,0.17983,False,True,False
55794,0.47,-0.13888,0.50465,False,False,False
55902,0.11,0.00831,0.15714,False,True,False
56109,0.31,-0.01199,0.23926,False,False,False
56426,1.3,-0.01801,0.2893,False,False,False
56463,0.07,0.05375,0.11471,False,True,False
56478,0.25,-0.10792,0.44251,False,False,False
56575,0.06,0.01086,0.22238,False,False,False
56734,0.04,0.06439,0.11411,False,True,False
56786,0.09,0.02683,0.22192,False,False,False
56801,0.62,-0.17999,0.55224,False,False,False
56967,0.91,-0.02575,0.3483,False,False,False
57407,0.22,0.01294,0.25662,False,False,False
57618,0.09,-0.06313,0.34782,False,False,False
57805,0.05,0.04168,0.14803,False,True,False
57831,0.36,0.01661,0.18357,False,True,False
57932,0.14,0.02287,0.19098,False,True,False
57947,0.32,0.01686,0.17767,False,True,False
57972,0.02,0.03291,0.11339,False,True,False
58037,0.22,-0.02144,0.30501,False,False,False
58175,0.18,-0.10206,0.42112,False,False,False
58312,0.12,0.03458,0.16291,False,True,False
58335,0.94,-0.0045,0.22346,False,False,False
58354,0.24,-0.04146,0.34013,False,False,False
58372,0.41,0.05384,0.1334,False,True,False
58468,0.12,-0.02086,0.28726,False,False,False
58571,0.24,0.02918,0.15027,False,True,False
58618,0.03,0.04914,0.10353,False,True,False
58658,0.05,-0.02507,0.26822,False,False,False
58660,0.36,0.00526,0.24934,False,False,False
58702,0.42,-0.00749,0.30864,False,False,False
58728,0.3,0.01731,0.25811,False,False,False
58748,0.42,-0.07004,0.34363,False,False,False
58830,0.21,0.0142,0.21442,False,False,False
58844,0.21,0.03623,0.08438,False,True,False
58877,8.75,-0.047,0.33097,False,False,False
58896,0.26,-0.02262,0.30194,False,False,False
58939,0.2,-0.16289,0.51866,False,False,False
58965,0.18,0.03669,0.12253,False,True,False
59041,0.02,-0.00682,0.23369,False,False,False
59182,0.05,0.02207,0.17456,False,True,False
59187,0.22,0.01792,0.20049,False,False,False
59194,0.01,0.02973,0.14647,False,True,False
59219,0.4,0.01432,0.16048,False,True,False
59223,2.01,0.0215,0.16197,False,True,False
59350,0.14,0.02764,0.16208,False,True,False
59462,0.07,0.04581,0.0975,False,True,False
59519,0.03,0.06439,0.11411,False,True,False
59600,4.57,-0.0433,0.29779,False,False,False
59601,0.04,0.06057,0.1331,False,True,False
59772,1.32,0.04035,0.15618,False,True,False
59840,0.19,-0.01217,0.25265,False,False,False
59852,0.33,0.01828,0.21842,False,False,False
60035,0.62,0.0271,0.20727,False,False,False
60223,0.03,0.03318,0.13936,False,True,False
60285,0.07,0.02747,0.20778,False,False,False
60308,0.03,0.04313,0.12796,False,True,False
60371,0.14,-0.10305,0.41885,False,False,False
60389,0.04,0.02015,0.14474,False,True,False
60432,4.62,-0.00835,0.25842,False,False,False
60499,0.04,0.0679,0.09004,False,True,False
60500,0.04,0.0679,0.09004,False,True,False
60527,0.02,0.05994,0.13983,False,True,False
60629,0.25,0.02292,0.17412,False,True,False
60636,0.06,0.0647,0.09446,False,True,False
60638,0.1,0.05413,0.13303,False,True,False
0137,0.92,-0.02619,0.2666,False,False,False
0142,2.95,-0.04657,0.25204,False,False,False
0152,4.74,0.01097,0.20923,False,False,False
0153,2.91,0.01776,0.20959,False,False,False
0160,1.22,-0.17872,0.53661,False,False,False
0186,0.27,-0.02229,0.25867,False,False,False
0187,1.0,0.0163,0.18722,False,True,False
0196,2.04,0.01527,0.18505,False,True,False
0201,1.98,-0.07958,0.41638,False,False,False
0216,1.04,-0.13274,0.5012,False,False,False
0220,0.87,-0.09192,0.45077,False,False,False
0222,0.49,0.00917,0.24609,False,False,False
0238,3.08,0.02653,0.26364,False,False,False
0245,1.08,0.00044,0.22663,False,False,False
0256,0.28,0.03515,0.15216,False,True,False
0333,0.28,-0.02909,0.2806,False,False,False
0363,0.31,-0.04065,0.33386,False,False,False
0364,0.44,-0.03478,0.23356,False,False,False
0370,0.85,0.00323,0.2124,False,False,False
0373,1.22,-0.16739,0.51842,False,False,False
0410,0.89,0.08435,0.08765,False,True,False
0438,1.2,0.0612,0.11493,False,True,False
0468,0.38,0.0599,0.07952,False,True,False
0469,1.1,-0.02333,0.26699,False,False,False
0481,1.05,0.03587,0.13191,False,True,False
0483,1.81,-0.02213,0.26787,False,False,False
0484,0.77,-0.05307,0.34039,False,False,False
0487,1.85,-0.00568,0.25933,False,False,False
0494,3.59,-0.13268,0.49287,False,False,False
0506,0.63,-0.13557,0.50043,False,False,False
0512,4.07,0.04723,0.11861,False,True,False
0515,1.98,0.01713,0.24552,False,False,False
0549,0.76,-0.0149,0.30154,False,False,False
0704,1.27,-0.01991,0.27419,False,False,False
0706,0.55,0.00221,0.2126,False,False,False
0734,0.25,0.03093,0.20635,False,False,False
0770,0.27,0.05056,0.10748,False,True,False
0773,0.32,-0.01304,0.29716,False,False,False
0774,0.69,-0.12308,0.45645,False,False,False
0838,1.04,-0.01705,0.33283,False,False,False
0840,0.58,0.0279,0.14982,False,True,False
0844,0.34,0.04847,0.18737,False,True,False
59042,1.98,0.01713,0.24552,False,False,False
60777,0.47,-0.13888,0.50465,False,False,False
60831,3.78,-0.0272,0.26388,False,False,False
60886,0.14,0.02287,0.19098,False,True,False
60951,0.89,-0.0045,0.22346,False,False,False
60994,0.54,-0.01343,0.20746,False,False,False
61254,6.71,0.00089,0.23446,False,False,False
61264,0.15,-0.02992,0.2781,False,False,False
61283,0.31,-0.04065,0.33386,False,False,False
61450,1.1,-0.01705,0.33283,False,False,False
61641,0.42,-0.01506,0.25165,False,False,False
61688,1.3,0.04035,0.15618,False,True,False
61710,0.92,-0.0055,0.27124,False,False,False
61735,0.06,0.01086,0.22238,False,False,False
61773,0.11,-0.12337,0.45555,False,False,False
61804,4.74,0.01097,0.20923,False,False,False
61905,0.47,0.04747,0.09864,False,True,False
62106,0.27,0.04176,0.16253,False,True,False
62496,0.25,0.02292,0.17412,False,True,False
62955,0.08,0.02747,0.20778,False,False,False
63129,0.36,0.01661,0.18357,False,True,False
63168,0.34,-0.00544,0.21717,False,False,False
63272,0.1,0.02297,0.17983,False,True,False
63292,0.15,0.02764,0.16208,False,True,False
63462,0.17,-0.01217,0.25265,False,False,False
137,0.92,-0.02619,0.2666,False,False,False
142,2.95,-0.04657,0.25204,False,False,False
186,0.27,-0.02229,0.25867,False,False,False
187,1.0,0.0163,0.18722,False,True,False
201,1.98,-0.07958,0.41638,False,False,False
220,0.87,-0.09192,0.45077,False,False,False
222,0.49,0.00917,0.24609,False,False,False
238,1.94,0.03272,0.27907,False,False,False
63663,0.02,0.06756,0.09824,False,True,False
245,1.08,0.00044,0.22663,False,False,False
60680,0.28,0.03515,0.15216,False,True,False
304,0.91,-0.02575,0.3483,False,False,False
310,1.86,-0.01523,0.25097,False,False,False
333,0.28,-0.02909,0.2806,False,False,False
364,0.44,-0.03478,0.23356,False,False,False
370,0.85,0.00323,0.2124,False,False,False
373,1.22,-0.16739,0.51842,False,False,False
438,1.2,0.0612,0.11493,False,True,False
468,0.38,0.0599,0.07952,False,True,False
469,1.1,-0.02333,0.26699,False,False,False
487,1.85,-0.00568,0.25933,False,False,False
494,3.59,-0.13268,0.49287,False,False,False
506,0.63,-0.13557,0.50043,False,False,False
512,4.07,0.04723,0.11861,False,True,False
549,0.76,-0.0149,0.30154,False,False,False
774,0.69,-0.12308,0.45645,False,False,False
840,0.58,0.0279,0.14982,False,True,False
61856,0.15,0.04957,0.08622,False,True,False
61889,0.06,0.05179,0.07789,False,True,False
62011,0.04,0.05828,0.1467,False,True,False
62023,0.06,0.04165,0.08992,False,True,False
62072,0.03,0.05321,0.08014,False,True,False
62102,2.15,-0.03321,0.29091,False,False,False
62170,0.13,-0.05478,0.32768,False,False,False
62171,0.29,0.04822,0.13786,False,True,False
62172,0.15,0.00105,0.29875,False,False,False
62189,0.11,0.06467,0.06822,False,True,False
62377,0.01,0.0696,0.08782,False,True,False
62379,0.02,0.02857,0.04581,False,True,False
62434,0.07,0.01031,0.17562,False,True,False
62462,0.07,0.0568,0.13946,False,True,False
62528,0.22,-0.05411,0.32378,False,False,False
62706,0.04,0.028,0.14212,False,True,False
62711,0.28,-0.08518,0.4226,False,False,False
62726,0.36,0.05425,0.12534,False,True,False
62728,0.33,0.00821,0.18642,False,True,False
